Role,Title,Company,Location,Date Posted
Data Analyst,Data Analyst,Meril,"Kanpur, Uttar Pradesh, India",3 days ago
Data Analyst,Data Analyst,Navi,"Bangalore Urban, Karnataka, India",5 days ago
Data Analyst,Data Analyst,EXL,"Gurugram, Haryana, India",2 weeks ago
Data Analyst,Analyst,Larsen & Toubro,Mumbai Metropolitan Region,1 week ago
Data Analyst,Data Analyst,Wipro,"Hyderabad, Telangana, India",2 weeks ago
Data Analyst,Data Analyst,Wipro,"Hyderabad, Telangana, India",2 weeks ago
Data Analyst,Business Data Analyst,sugar.fit,"Bangalore Urban, Karnataka, India",4 days ago
Data Analyst,Data Analyst,Focus Edumatics Pvt Ltd,"Bangalore Urban, Karnataka, India",5 days ago
Data Analyst,Power BI - Consultant,Deloitte,"Bengaluru, Karnataka, India",2 weeks ago
Data Analyst,Analyst-Data Science,American Express,"Gurugram, Haryana, India",6 days ago
Data Analyst,Data Analyst,Appinventiv,Greater Delhi Area,1 day ago
Data Analyst,Data Analyst,Wipro,"Hyderabad, Telangana, India",1 week ago
Data Analyst,Analyst-Data Science,American Express,"Gurugram, Haryana, India",5 days ago
Data Analyst,Data Analyst,Wipro,"Hyderabad, Telangana, India",1 week ago
Data Analyst,Executive,Larsen & Toubro,Mumbai Metropolitan Region,1 week ago
Data Analyst,Data Analyst,Volvo Group,"Bengaluru, Karnataka, India",5 days ago
Data Analyst,Analyst-Data Analytics,American Express,"Gurugram, Haryana, India",3 days ago
Data Analyst,Data Analyst,Reliance Industries Limited,"Jamnagar, Gujarat, India",1 day ago
Data Analyst,Analyst-Data Science,American Express,"Gurugram, Haryana, India",1 week ago
Data Analyst,Data Research Analyst,Forbes Advisor,Mumbai Metropolitan Region,6 days ago
Data Analyst,"Business Intelligence Analyst, gTech Analytics, Platforms and Tools",Google,"Gurugram, Haryana, India",1 week ago
Data Analyst,Data Analyst,Silkhaus,"Bengaluru, Karnataka, India",1 week ago
Data Analyst,Analyst-Data Science,American Express,"Gurugram, Haryana, India",5 days ago
Data Analyst,Data Analyst,Recro,"Bengaluru, Karnataka, India",1 week ago
Data Analyst,Data Analyst,Recro,"Bengaluru, Karnataka, India",1 week ago
Data Analyst,Data Strategy and Data Analytics Lead,Tech Mahindra,Greater Bengaluru Area,5 days ago
Data Analyst,Data Analyst,Norstella,India,2 weeks ago
Data Analyst,Data Analyst,Virtusa,"Chennai, Tamil Nadu, India",1 week ago
Data Analyst,Product Team Internship in Noida,Jagran New Media,"Noida, Uttar Pradesh, India",1 week ago
Data Analyst,Data Analyst,Virtusa,"Chennai, Tamil Nadu, India",1 week ago
Data Analyst,Senior Data Analyst - Supply Chain [T500-14694],Delta Air Lines,"Bengaluru, Karnataka, India",5 days ago
Data Analyst,Data Analyst,WanderOn,"Gurugram, Haryana, India",4 days ago
Data Analyst,Data Analyst,MS CLINICAL RESEARCH,"Bengaluru, Karnataka, India",6 days ago
Data Analyst,Trainee - Junior Data Analyst,Cognizant,Mumbai Metropolitan Region,5 days ago
Data Analyst,Data Analyst,CGI,"Bengaluru, Karnataka, India",4 days ago
Data Analyst,Business Data Analyst,BCE Global Tech,"Bengaluru, Karnataka, India",2 weeks ago
Data Analyst,Data Analyst-2,Games24x7,"Bengaluru, Karnataka, India",1 week ago
Data Analyst,Analytics  Associate,Blue Matter,"Gurugram, Haryana, India",6 days ago
Data Analyst,BI Analyst,Fusemachines,"Pune, Maharashtra, India",1 month ago
Data Analyst,Data Analyst,hackajob,"Hyderabad, Telangana, India",2 weeks ago
Data Analyst,Data Analyst,"The Mice Groups, Inc.","Mumbai, Maharashtra, India",1 week ago
Data Analyst,Data Analyst 2,Zynga,"Bengaluru, Karnataka, India",4 days ago
Data Analyst,Junior Data Analyst,Brillius Technologies,"Hyderabad, Telangana, India",4 days ago
Data Analyst,Data Analyst,Accelon Inc.,"Bengaluru, Karnataka, India",6 days ago
Data Analyst,BI consultants (Data Analytics),Tata Consultancy Services,"Hyderabad, Telangana, India",1 week ago
Data Analyst,Business Data Analyst,KGK Group,"Mumbai, Maharashtra, India",3 days ago
Data Analyst,"SENIOR, DATA ANALYST",Walmart Global Tech India,"Bengaluru, Karnataka, India",4 days ago
Data Analyst,Data Analyst ( Fresher)- IIT/NIT/BITS,Snapmint,"Bengaluru, Karnataka, India",1 day ago
